id,set_count,name,parent_id
351,8,Toa Inika,324.0
330,8,Bohrok-Kal,324.0
147,8,Pirates,
308,8,Aquanauts,307.0
427,8,Holiday,425.0
232,8,Valentine,206.0
157,8,Bricktober,155.0
62,8,Supplemental,52.0
686,8,Chinese Traditional Festivals,
306,8,Mission Deep Freeze,304.0
387,8,Discovery,
71,8,Coast Guard,67.0
701,8,Superman,695.0
333,7,Matoran of Light,324.0
358,7,Visorak,324.0
481,7,Dino,
128,7,Blacktron I,126.0
337,7,Matoran of Voya Nui,324.0
339,7,Phantoka,324.0
54,7,Cargo,52.0
98,7,Fire,94.0
152,7,Islanders,148.0
332,7,Glatorian Legends,324.0
655,7,Powered Up,438.0
111,7,Police,105.0
326,7,Barraki,324.0
81,7,Post Office,67.0
336,7,Matoran of Metru Nui,324.0
397,7,Factory,
340,7,Piraka,324.0
277,7,Mosaic,276.0
474,7,Vikings,
194,7,Forestmen,186.0
559,7,Value Packs,
520,7,RCX,518.0
187,7,Black Falcons,186.0
99,7,Gas Station,94.0
352,7,Toa Mahri,324.0
338,7,Mistika,324.0
331,7,Glatorian,324.0
653,7,DC Comics,504.0
189,7,Classic Castle,186.0
345,6,Stars,324.0
151,6,Imperial Soldiers,148.0
325,6,Agori,324.0
97,6,Construction,94.0
360,6,Protectors,324.0
362,6,Toa Okoto,324.0
606,6,Angry Birds,
139,6,Space Police I,126.0
355,6,Tohunga,324.0
304,6,Alpha Team,
447,6,Castle,443.0
190,6,Crusaders,186.0
88,6,Launch Command,50.0
270,6,Ben 10,
102,6,Supplemental,94.0
518,6,Mindstorms,507.0
382,6,Cargo,373.0
64,6,Off-Road,52.0
126,6,Space,
418,6,Gas Station,411.0
638,6,Jake and the Never Land Pirates,504.0
662,6,Princess Castle,504.0
342,6,Rahaga,324.0
659,6,Dolls,504.0
385,6,Dino Attack,
202,6,Supplemental,186.0
311,6,Aquasharks,307.0
320,6,Golden Land,318.0
271,6,Prince of Persia,
633,5,Toy Story,504.0
233,5,Train,
388,5,Disney's Mickey Mouse,
574,5,Legend Beasts,571.0
8,5,Farm,5.0
313,5,Stingrays,307.0
517,5,Learning,507.0
374,5,Airport,373.0
207,5,Advent,206.0
17,5,Speed Slammers,1.0
31,5,Creature,23.0
689,5,Minions,
343,5,Rahi,324.0
334,5,Matoran of Mahri Nui,324.0
384,5,Dino 2010,
312,5,Hydronauts,307.0
526,5,Soft Bricks,507.0
628,5,Dora the Explorer,504.0
458,5,Sports,
101,5,Race,94.0
89,5,Outback,50.0
256,5,Technic,254.0
145,4,Unitron,126.0
709,4,LEGO Art,
2,4,Arctic Technic,1.0
699,4,Constraction,695.0
648,4,Doc McStuffins,504.0
630,4,Spiderman,504.0
596,4,Marvel Super Heroes,591.0
592,4,DC Comics Super Heroes,591.0
426,4,Bionicle,425.0
597,4,Ninjago,591.0
680,4,Stranger Things,
593,4,Disney Princess,591.0
446,4,Belville,443.0
138,4,RoboForce,126.0
590,4,Fusion,
698,4,UCS,697.0
9,4,Fire,5.0
651,4,Pirates,504.0
671,4,Forma,
627,4,Disney Planes,504.0
118,4,Speed Racer,112.0
694,4,Brick Sketches,
424,4,Western,411.0
257,4,Train,254.0
214,4,Creator,207.0
463,4,Spybiotics,
523,4,Samsonite,507.0
381,4,Construction,373.0
406,4,Inventor,
419,3,Harbor,411.0
107,3,Coast Guard,105.0
449,3,Pirates,443.0
309,3,Aquaraiders I,307.0
349,3,Toa Hagah,324.0
703,3,Constraction,696.0
629,3,Miles From Tomorrowland,504.0
369,3,Jumbo Bricks,365.0
321,3,Hospital,318.0
26,3,Construction,23.0
191,3,Dark Forest,186.0
149,3,Imperial Armada,148.0
450,3,Primo,443.0
513,3,Classic,507.0
620,3,Jurassic World: Fallen Kingdom,591.0
203,3,Wolfpack,186.0
377,3,Harbor,373.0
430,3,Pirates,425.0
121,3,Track System,112.0
375,3,Farm,373.0
639,3,Sofia the First,504.0
258,3,Mindstorms,
14,3,Robot,5.0
666,3,Zooters,504.0
30,3,Traffic,23.0
105,3,World City,50.0
276,3,Sculptures,
422,3,Space,411.0
514,2,Creator,507.0
122,2,Williams F1,112.0
261,2,Star Wars,258.0
115,2,Lamborghini,112.0
527,2,Space,507.0
376,2,Fire,373.0
211,2,Castle,207.0
255,2,Castle,254.0
511,2,Building Set with People,507.0
317,2,Avatar,
560,2,Universe,
654,2,The Powerpuff Girls,
287,2,Spider-Man,279.0
205,2,Building,204.0
445,2,Aquazone,443.0
457,2,Western,443.0
274,2,Jurassic Park III,273.0
104,2,Town Plan,50.0
95,2,Cargo,94.0
73,2,Farm,67.0
96,2,Coast Guard,94.0
707,2,X-Men,696.0
108,2,Fire,105.0
402,2,Vehicles,400.0
213,2,Clikits,207.0
607,2,Ghostbusters,
667,2,Fantastic Beasts,246.0
237,2,My Own Creation,236.0
499,2,Train,497.0
509,1,Adventurers,507.0
515,1,Dinosaurs,507.0
510,1,Boat,507.0
512,1,Castle,507.0
530,1,Control Lab,529.0
531,1,eLAB,529.0
156,1,Mini,155.0
411,1,Legoland,
368,1,HO 1:87 Vehicles,365.0
519,1,NXT,518.0
475,1,Western,
455,1,Classic Town,454.0
245,1,RC Train,241.0
212,1,Classic Basic,207.0
370,1,Mosaic,365.0
383,1,Wooden Box Set,365.0
379,1,Supplemental,373.0
380,1,Train,373.0
415,1,Coast Guard,411.0
34,1,Building,23.0
200,1,My Own Creation,186.0
373,1,Vehicle,365.0
444,1,Adventurers,443.0
25,1,Castle,23.0
307,1,Aquazone,
215,1,Pirates,207.0
361,1,Skull Spiders,324.0
210,1,Belville,207.0
414,1,Castle,411.0
